Scenario,Implementation,Avg(ms),Med(ms),P90(ms),P95(ms),P99(ms),Max(ms),ReqTotal,ErrorRate(%),Throughput(req/s)
01-smoke,orm,3.45,2.93,5.86,6.69,6.69,8.88,240,0.00,3.94
01-smoke,sql,1.93,1.81,3.02,3.53,3.53,10.73,240,0.00,3.96
02-crud,orm,3.70,2.68,6.90,8.20,8.20,70.15,100808,16.23,419.97
02-crud,sql,3.10,1.52,5.51,7.16,7.16,195.41,101379,10.73,422.28
03-read-heavy,orm,95.50,81.66,179.50,220.42,220.42,802.25,175463,5.63,449.89
03-read-heavy,sql,723.32,622.68,1431.66,1694.96,1694.96,3211.24,41878,6.00,107.37
04-complex-queries,orm,8.76,5.30,19.18,24.04,24.04,285.50,71580,8.87,238.38
04-complex-queries,sql,17.31,3.63,50.16,67.51,67.51,562.63,68689,9.06,228.79
05-stress,orm,107.96,111.84,189.91,219.50,219.50,624.82,330274,11.89,786.39
05-stress,sql,910.45,753.82,2301.99,2677.55,2677.55,3934.90,54594,11.97,129.98
